parent_bite_id,phase,psi_range,delta_psi_range,rms_change_from_psi0,max_abs_change_from_psi0,total_abs_psi_travel,n_frames
trial_0014_bite_006,withdrawal,0.33959797813349857,0.33959797813349857,0.2016952582614818,0.3240199943315356,0.41475447860666304,81
trial_0014_bite_007,transfer,0.22868337481329393,0.22868337481329393,0.17224253662398242,0.22868337481329393,0.257876398157161,111
trial_0014_bite_007,withdrawal,0.3061717159651489,0.3061717159651489,0.1584297693351281,0.2949945691368825,0.3173669644874968,86
trial_0014_bite_008,transfer,0.2518891670999652,0.2518891670999652,0.18371814410508897,0.2518891670999652,0.25873714085217525,94
trial_0014_bite_008,withdrawal,0.4507624184310344,0.4507624184310344,0.1866939016907544,0.3949479045424913,0.5065769323195775,74
trial_0014_bite_009,transfer,0.27755302315644403,0.27755302315644403,0.18406382194679677,0.27755302315644403,0.28081786250510277,114
trial_0014_bite_009,withdrawal,0.20224068840270082,0.20224068840270082,0.11071760229581651,0.19041731892535596,0.22054697656501032,52
trial_0014_bite_010,transfer,0.33074426157047787,0.33074426157047787,0.2566037572452201,0.33074426157047787,0.3619080373097554,124
trial_0014_bite_010,withdrawal,0.3311616463979612,0.3311616463979612,0.20102836225374313,0.3266381989550937,0.3437753826064829,77
trial_0014_bite_011,transfer,0.29852291817495535,0.29852291817495535,0.1999407817815032,0.29852291817495535,0.3068075236905994,131
trial_0014_bite_011,withdrawal,0.438303761248541,0.438303761248541,0.22491457278926,0.42679325135453894,0.4514491564516936,81
trial_0014_bite_012,transfer,0.39792213462237314,0.39792213462237314,0.28939865569741324,0.39792213462237314,0.39959063090443525,103
trial_0014_bite_012,withdrawal,0.27233651340181053,0.27233651340181053,0.1316230547189877,0.23372322605806062,0.3133587827420623,104
trial_0014_bite_013,transfer,0.4045318172311756,0.4045318172311756,0.30286095830955945,0.4045318172311756,0.408601363292469,108
trial_0014_bite_013,withdrawal,0.22717255469850128,0.22717255469850128,0.10415447433915785,0.18062832754095215,0.2765627638526169,115
trial_0014_bite_014,transfer,0.2988253914229988,0.2988253914229988,0.2599417726358345,0.2988253914229988,0.3498205401928862,129
trial_0014_bite_014,withdrawal,0.38614189705303614,0.38614189705303614,0.2955896132660152,0.3780708711104146,0.4013337974078799,106
trial_0014_bite_015,transfer,0.313618238071216,0.313618238071216,0.23613882204188105,0.313618238071216,0.3228973664805874,130
trial_0014_bite_015,withdrawal,0.43198653034068935,0.43198653034068935,0.3252344855591306,0.43081041025722167,0.43512570742111256,106
trial_0014_bite_016,transfer,0.3074919738409525,0.3074919738409525,0.2556895857376373,0.3074919738409525,0.3373336599766965,137
trial_0014_bite_016,withdrawal,0.23765775421777224,0.23765775421777224,0.15558097358429046,0.22545737663183818,0.2570206386601961,94
trial_0014_bite_017,transfer,0.2405143628675006,0.2405143628675006,0.17399772116521228,0.2348421084073995,0.26366086581742065,121
trial_0014_bite_017,withdrawal,0.32460949603337097,0.32460949603337097,0.2064601010366711,0.30919752875401585,0.35384972560788786,99
trial_0014_bite_018,transfer,0.2935016794165137,0.2935016794165137,0.2255918500660542,0.2935016794165137,0.31255985870195113,156
trial_0014_bite_018,withdrawal,0.2924929418993023,0.2924929418993023,0.18348026139490473,0.29133543269190243,0.32191267723434747,86
trial_0014_bite_019,transfer,0.1349740297541362,0.1349740297541362,0.08985727604395148,0.1349740297541362,0.24611684416802015,127
trial_0014_bite_019,withdrawal,0.4095429817522702,0.4095429817522702,0.14624329215809898,0.3167863598020024,0.502299603702538,104
trial_0014_bite_020,transfer,0.16902524354351245,0.16902524354351245,0.055295788023378305,0.10164590483562197,0.29278772197023706,157
trial_0014_bite_020,withdrawal,0.38431394336541436,0.38431394336541436,0.21895606441036602,0.36034595825657334,0.40867222390608937,104
trial_0014_bite_021,transfer,0.1872794500175412,0.1872794500175412,0.13535996426912486,0.1872794500175412,0.25894736458663736,205
trial_0014_bite_021,withdrawal,0.39251039651390807,0.39251039651390807,0.2715594843140607,0.38778659827876893,0.5017283269214206,99
trial_0015_bite_001,transfer,0.11310148116708518,0.11310148116708518,0.08336180335011725,0.11310148116708518,0.23556661337911633,145
trial_0015_bite_001,withdrawal,0.37615347324745807,0.37615347324745807,0.23769285294096582,0.37615347324745807,0.3763096615770434,149
trial_0015_bite_002,transfer,0.25192600402993115,0.25192600402993115,0.17965280411053738,0.25192600402993115,0.2917323977848274,108
trial_0015_bite_002,withdrawal,0.5389296693758969,0.5389296693758969,0.3192633020992282,0.5376755147156671,0.5444716490174311,129
trial_0015_bite_003,transfer,0.22571206177204717,0.22571206177204717,0.16908593550128106,0.22571206177204717,0.2756429297891567,154
trial_0015_bite_003,withdrawal,0.4126415976705964,0.4126415976705964,0.23176205125135854,0.3877316674882394,0.43808724250049647,153
trial_0015_bite_004,transfer,0.23297047435831386,0.23297047435831386,0.1607726837909592,0.23297047435831386,0.3080330849112576,145
trial_0015_bite_004,withdrawal,0.40375006718413076,0.40375006718413076,0.19589505857651887,0.3825496798516608,0.42495045451660074,136
trial_0015_bite_005,transfer,0.27825882328898155,0.27825882328898155,0.18999297598602596,0.27825882328898155,0.33484416392551664,122
trial_0015_bite_005,withdrawal,0.5291351483222027,0.5291351483222027,0.39412753700927017,0.5249039537334639,0.5680244561967198,163
trial_0015_bite_006,transfer,0.2636133957559932,0.2636133957559932,0.19741448213124735,0.2636133957559932,0.31333596752844173,122
trial_0015_bite_006,withdrawal,0.5276413105411635,0.5276413105411635,0.23765993126986362,0.44485606282337287,0.613537929718476,146
trial_0015_bite_007,transfer,0.1495491803811655,0.1495491803811655,0.11771180480677366,0.1495491803811655,0.18559399519387743,127
trial_0015_bite_007,withdrawal,0.25232250711332815,0.25232250711332815,0.14156373103827818,0.22491259340682968,0.3575567761545635,144
trial_0015_bite_008,transfer,0.13131544241476734,0.13131544241476734,0.07823974529380605,0.12666454012617878,0.18071010318987168,169
trial_0015_bite_008,withdrawal,0.1448095946548138,0.1448095946548138,0.06462401200235732,0.11305430962317597,0.24108453752572023,227
trial_0015_bite_009,transfer,0.4088241297331767,0.4088241297331767,0.3058671948459505,0.4088241297331767,0.47436039275451725,158
trial_0015_bite_009,withdrawal,0.7133260646206585,0.7133260646206585,0.3047932293268309,0.6496477995961079,0.7781587131303191,183
trial_0015_bite_010,transfer,0.180811066507367,0.180811066507367,0.131414358935121,0.180811066507367,0.2547618848160762,150
trial_0015_bite_010,withdrawal,0.4953021211530131,0.4953021211530131,0.22353210610457946,0.46650757064849424,0.5349778152758335,131
trial_0015_bite_011,transfer,0.23480638471356485,0.23480638471356485,0.1806437142540829,0.23480638471356485,0.3003647283132409,126
trial_0015_bite_011,withdrawal,0.533716472372828,0.533716472372828,0.25697179424682204,0.48079737225169605,0.5870588741557734,124
trial_0015_bite_012,transfer,0.08848696218878471,0.08848696218878471,0.0540850075390261,0.08717865831312155,0.1047562445642174,44
trial_0015_bite_012,withdrawal,0.339343851336392,0.339343851336392,0.16026771399048306,0.31076314557657714,0.3723261358727692,129
trial_0015_bite_013,transfer,0.24451978922604445,0.24451978922604445,0.19330202244271733,0.24451978922604445,0.3058760777639007,146
trial_0015_bite_013,withdrawal,0.1905438699149875,0.1905438699149875,0.07052824485195508,0.09591363475066395,0.31781279553899777,183
trial_0015_bite_014,transfer,0.24480655084180203,0.24480655084180203,0.1836879887843985,0.24480655084180203,0.29555299201461027,116
trial_0015_bite_014,withdrawal,0.25661934026051547,0.25661934026051547,0.11748846431033778,0.189359842555767,0.3435979451347895,138
trial_0015_bite_015,transfer,0.22967002204698828,0.22967002204698828,0.17823047660676727,0.22967002204698828,0.2780775163193865,110
trial_0015_bite_015,withdrawal,0.2759048566001332,0.2759048566001332,0.10860270907366512,0.1591928510956988,0.41794847499779486,169
trial_0015_bite_016,transfer,0.12179531637312113,0.12179531637312113,0.0831472820321268,0.12179531637312113,0.23022006038896725,156
trial_0015_bite_016,withdrawal,0.4174484631130442,0.4174484631130442,0.17303310394068405,0.32863890118724237,0.5381401475233063,156
trial_0015_bite_017,transfer,0.08879729594476737,0.08879729594476737,0.02711287214054561,0.060527005398547384,0.21268847829188786,160
trial_0015_bite_017,withdrawal,0.44187662824106644,0.44187662824106644,0.16542813592853142,0.3193493814566497,0.5722592891986946,178
trial_0015_bite_018,transfer,0.14548641568976395,0.14548641568976395,0.08321220077839515,0.1258382297460039,0.23590345922346545,151
trial_0015_bite_018,withdrawal,0.35534238519120054,0.35534238519120054,0.13182789076208318,0.25023760382776494,0.47417882119167754,178
trial_0015_bite_019,transfer,0.22853140690077245,0.22853140690077245,0.18181760557904433,0.22853140690077245,0.33616766303070555,185
trial_0015_bite_019,withdrawal,0.27518577303059155,0.27518577303059155,0.12253281980072989,0.23238112564277635,0.388967027517777,149
trial_0017_bite_001,transfer,0.30178465770458995,0.30178465770458995,0.20973807860651636,0.30178465770458995,0.41747491177551366,219
