model,parent_bite_id,take,phase,circular_mae,circular_rmse,delta_rmse,n_frames_x,psi_range,delta_psi_range,rms_change_from_psi0,max_abs_change_from_psi0,total_abs_psi_travel,n_frames_y
R0_hold_psi0,trial_0015_bite_009,trial_0015,transfer,0.27067676699300686,0.3058671948459505,0.3058671948459505,158,0.4088241297331767,0.4088241297331767,0.3058671948459505,0.4088241297331767,0.47436039275451725,158
R0_hold_psi0,trial_0015_bite_009,trial_0015,withdrawal,0.21340747555572287,0.3047932293268309,0.3047932293268309,183,0.7133260646206585,0.7133260646206585,0.3047932293268309,0.6496477995961079,0.7781587131303191,183
R0_hold_psi0,trial_0015_bite_010,trial_0015,transfer,0.11795146586520877,0.131414358935121,0.131414358935121,150,0.180811066507367,0.180811066507367,0.131414358935121,0.180811066507367,0.2547618848160762,150
R0_hold_psi0,trial_0015_bite_010,trial_0015,withdrawal,0.1577667803309241,0.22353210610457946,0.22353210610457946,131,0.4953021211530131,0.4953021211530131,0.22353210610457946,0.46650757064849424,0.5349778152758335,131
R0_hold_psi0,trial_0015_bite_011,trial_0015,transfer,0.1710451825069655,0.1806437142540829,0.1806437142540829,126,0.23480638471356485,0.23480638471356485,0.1806437142540829,0.23480638471356485,0.3003647283132409,126
R0_hold_psi0,trial_0015_bite_011,trial_0015,withdrawal,0.18459946496248636,0.25697179424682204,0.25697179424682204,124,0.533716472372828,0.533716472372828,0.25697179424682204,0.48079737225169605,0.5870588741557734,124
R0_hold_psi0,trial_0015_bite_012,trial_0015,transfer,0.044425327856008126,0.0540850075390261,0.0540850075390261,44,0.08848696218878471,0.08848696218878471,0.0540850075390261,0.08717865831312155,0.1047562445642174,44
R0_hold_psi0,trial_0015_bite_012,trial_0015,withdrawal,0.11165358116736333,0.16026771399048306,0.16026771399048306,129,0.339343851336392,0.339343851336392,0.16026771399048306,0.31076314557657714,0.3723261358727692,129
R0_hold_psi0,trial_0015_bite_013,trial_0015,transfer,0.1784383531294897,0.19330202244271733,0.19330202244271733,146,0.24451978922604445,0.24451978922604445,0.19330202244271733,0.24451978922604445,0.3058760777639007,146
R0_hold_psi0,trial_0015_bite_013,trial_0015,withdrawal,0.06590376431581402,0.07052824485195508,0.07052824485195508,183,0.1905438699149875,0.1905438699149875,0.07052824485195508,0.09591363475066395,0.31781279553899777,183
R0_hold_psi0,trial_0015_bite_014,trial_0015,transfer,0.16324347315289744,0.1836879887843985,0.1836879887843985,116,0.24480655084180203,0.24480655084180203,0.1836879887843985,0.24480655084180203,0.29555299201461027,116
R0_hold_psi0,trial_0015_bite_014,trial_0015,withdrawal,0.09569515665659177,0.11748846431033778,0.11748846431033778,138,0.25661934026051547,0.25661934026051547,0.11748846431033778,0.189359842555767,0.3435979451347895,138
R0_hold_psi0,trial_0015_bite_015,trial_0015,transfer,0.1629095137954596,0.17823047660676727,0.17823047660676727,110,0.22967002204698828,0.22967002204698828,0.17823047660676727,0.22967002204698828,0.2780775163193865,110
R0_hold_psi0,trial_0015_bite_015,trial_0015,withdrawal,0.09830111401375001,0.10860270907366512,0.10860270907366512,169,0.2759048566001332,0.2759048566001332,0.10860270907366512,0.1591928510956988,0.41794847499779486,169
R0_hold_psi0,trial_0015_bite_016,trial_0015,transfer,0.07706991611033234,0.0831472820321268,0.0831472820321268,156,0.12179531637312113,0.12179531637312113,0.0831472820321268,0.12179531637312113,0.23022006038896725,156
