grouping,group,condition,offset_rad,strategy,reference,support_bites,support_common_success_frames,psi_mae,psi_rmse,q_rms,elbow_mean,plane_mean
take,trial_0017,psi0_nominal,0.0,RobotSmooth,shifted_HumanGT,15,3728,0.08640189075524293,0.10607449100546558,0.19542478142180422,0.02206343495318189,0.08640189084242436
take,trial_0017,psi0_plus_025,0.25,B0,shifted_HumanGT,15,3717,0.09867797157724739,0.12109867374574046,0.43917081541263775,0.02543811806761482,0.0986779716888723
take,trial_0017,psi0_plus_025,0.25,B2,shifted_HumanGT,15,3717,0.053395200516267706,0.06373386469775073,0.11625708280481359,0.012011526275552558,0.05339520062789281
take,trial_0017,psi0_plus_025,0.25,B3,shifted_HumanGT,15,3717,0.05457935506825625,0.06641025708602792,0.121134250700098,0.012710069097675398,0.05457935517987407
take,trial_0017,psi0_plus_025,0.25,StrongLocal,shifted_HumanGT,15,3717,0.0532469807375126,0.06393673720147519,0.11595472590532978,0.012337548650928535,0.05324698084913836
take,trial_0017,psi0_plus_025,0.25,H_star,shifted_HumanGT,15,3717,0.040938022272054155,0.048683881760925765,0.09032671357764836,0.009239522584376828,0.04093802238367394
take,trial_0017,psi0_plus_025,0.25,RobotSmooth,shifted_HumanGT,15,3717,0.08352383230264554,0.10269080138589785,0.1824481277747205,0.020808969138240645,0.08352383241426768
take,trial_0019,psi0_minus_025,-0.25,B0,shifted_HumanGT,26,6440,0.09994499022335497,0.12138242981718092,0.2702883358612983,0.02996359130098579,0.09994499026292468
take,trial_0019,psi0_minus_025,-0.25,B2,shifted_HumanGT,26,6484,0.07124461808577948,0.08396083055879543,0.18700106214494144,0.021184207359256448,0.07124461812532384
take,trial_0019,psi0_minus_025,-0.25,B3,shifted_HumanGT,26,6483,0.07153935003001113,0.08289047574344581,0.1844942584528391,0.021243934403272317,0.07153935006958342
take,trial_0019,psi0_minus_025,-0.25,StrongLocal,shifted_HumanGT,26,6483,0.06578492669923977,0.07677679687224424,0.17400231251253015,0.01961171820306453,0.06578492673880613
take,trial_0019,psi0_minus_025,-0.25,H_star,shifted_HumanGT,26,6483,0.06418589795258944,0.07537105338732276,0.17096845938269917,0.019111351498861985,0.06418589799215978
take,trial_0019,psi0_minus_025,-0.25,RobotSmooth,shifted_HumanGT,26,6484,0.10166221726569404,0.12388343996073375,0.25685831572310636,0.030392977895565245,0.10166221730526526
take,trial_0019,psi0_nominal,0.0,B0,shifted_HumanGT,26,6406,0.09901322811619938,0.12032108099566415,0.3398782885921673,0.029854197419588065,0.09901322816967316
take,trial_0019,psi0_nominal,0.0,B2,shifted_HumanGT,26,6438,0.07106553481592794,0.08388139050033941,0.18406452591653666,0.021197932421099845,0.07106553486908132
take,trial_0019,psi0_nominal,0.0,B3,shifted_HumanGT,26,6438,0.07169545136080323,0.08312836907404497,0.18686124574132276,0.021358957367023132,0.07169545141394283
take,trial_0019,psi0_nominal,0.0,StrongLocal,shifted_HumanGT,26,6438,0.06591336946473157,0.07697420301383678,0.17521669573466966,0.019732817175114346,0.06591336951786071
take,trial_0019,psi0_nominal,0.0,H_star,shifted_HumanGT,26,6438,0.06427115531749149,0.0755570031535571,0.17496502126505534,0.019193924281869747,0.06427115537062435
take,trial_0019,psi0_nominal,0.0,RobotSmooth,shifted_HumanGT,26,6438,0.10195549973085077,0.12513604344461626,0.24602625248475743,0.030668643913822444,0.10195549978398268
take,trial_0019,psi0_plus_025,0.25,B0,shifted_HumanGT,26,6377,0.09836168087982407,0.11961536104564814,0.49995228269518976,0.029634574340069608,0.0983616809348567
take,trial_0019,psi0_plus_025,0.25,B2,shifted_HumanGT,26,6399,0.07048301776342764,0.08334392355024324,0.3110972159552603,0.020998963500476843,0.07048301781816638
take,trial_0019,psi0_plus_025,0.25,B3,shifted_HumanGT,26,6398,0.07128739353877071,0.08283878534039767,0.31573808445198287,0.02121540143276614,0.07128739359352367
take,trial_0019,psi0_plus_025,0.25,StrongLocal,shifted_HumanGT,26,6398,0.06545766635321505,0.07658897626611719,0.27558307326217396,0.019594265870015296,0.06545766640795977
