condition,offset_rad,strategy,support_bites,source_runs,initial_success_runs,initial_state_success_percent,source_frames,success_frames,trajectory_frame_success_percent,complete_success_runs,complete_run_success_percent,JOINT_LIMIT,NO_VALID_BRANCH,other_failure_frames,violations,continuous_frame_percent,branch_changes,travel,rms_velocity,rms_acceleration,rms_jerk,min_margin,min_jp_sigma,min_jr_sigma,take
psi0_minus_025,-0.25,StrongLocal,19,38,37,97.36842105263158,5559,5219,93.88379204892966,34,89.47368421052632,0,163,0,0,100.0,0,4.200998941278244,0.7038835595381825,36.426659556084,4878.736622283038,0.6850498613838687,0.22387286278244187,1.333531885918631,trial_0015
psi0_minus_025,-0.25,H_star,19,38,37,97.36842105263158,5559,5219,93.88379204892966,34,89.47368421052632,0,163,0,0,100.0,0,4.517805480158554,0.7376116525999508,50.35472256459151,7745.390734548871,0.685428426470531,0.22368618476142488,1.3298576553653738,trial_0015
psi0_minus_025,-0.25,RobotSmooth,19,38,37,97.36842105263158,5559,5215,93.81183666127001,34,89.47368421052632,0,1,0,0,100.0,0,4.373912621399471,0.6264830057329852,28.618525114213018,4390.679361951268,0.6547279868654239,0.2269389653794576,1.3162800876045793,trial_0015
psi0_nominal,0.0,HumanGT,19,38,37,97.36842105263158,5559,5212,93.75787012052527,34,89.47368421052632,0,170,0,3,99.9424405218726,3,3.9113944812628865,0.6781966777187755,31.118265604171082,3937.099296073332,0.6052939967575951,0.2114615380383327,1.3626928180052866,trial_0015
psi0_nominal,0.0,B0,19,38,37,97.36842105263158,5559,5215,93.81183666127001,34,89.47368421052632,0,167,0,3,99.9424736337488,3,4.229549688251313,0.6996652791535561,29.00789108341516,3783.8091862539027,0.5109366194951438,0.21494404010662774,1.357503258062718,trial_0015
psi0_nominal,0.0,B2,19,38,37,97.36842105263158,5559,5212,93.75787012052527,34,89.47368421052632,0,170,0,2,99.96162701458174,2,3.947116139798332,0.6709719363992713,28.978471225887425,3704.665064837079,0.541852825197357,0.21210742084489229,1.366845388464671,trial_0015
psi0_nominal,0.0,B3,19,38,37,97.36842105263158,5559,5212,93.75787012052527,34,89.47368421052632,0,170,0,2,99.96162701458174,2,4.030558672104209,0.6904448639692023,33.837724546648694,4631.46275595939,0.5415200998593156,0.21234818572591144,1.3674129407788542,trial_0015
psi0_nominal,0.0,StrongLocal,19,38,37,97.36842105263158,5559,5213,93.77585896744019,34,89.47368421052632,0,169,0,3,99.94245156339919,3,4.004473214747041,0.6983917760790053,34.190879949942214,4454.708953826768,0.5526699973416984,0.2126120444837873,1.36691634835592,trial_0015
psi0_nominal,0.0,H_star,19,38,37,97.36842105263158,5559,5213,93.77585896744019,34,89.47368421052632,0,169,0,3,99.94245156339919,3,4.291820514931743,0.7236976684663595,46.79174396747138,7159.869641903855,0.5536126204627202,0.21232964929326545,1.3651088743629405,trial_0015
psi0_nominal,0.0,RobotSmooth,19,38,37,97.36842105263158,5559,5215,93.81183666127001,34,89.47368421052632,0,1,0,1,99.98082454458293,0,4.210528197254764,0.6429096308922515,31.074146863544936,4586.749680150433,0.5146353041847881,0.2155719596806147,1.357565467011469,trial_0015
