comparison,condition,phase,metric,difference_a_minus_b,ci_low,ci_high,support_bites,status
StrongLocal-B3,psi0_plus_025,withdrawal,travel,-0.049293586400388854,-0.07202873889272877,-0.02676619836514511,127,OK
StrongLocal-B3,psi0_plus_025,withdrawal,rms_velocity,-0.0072974267380238045,-0.012086680549034683,-0.0032167965097721946,122,OK
StrongLocal-B3,psi0_plus_025,withdrawal,min_margin,0.010142723240921088,0.007905490264950481,0.012493550626831409,122,OK
StrongLocal-B3,psi0_plus_025,withdrawal,violations,-0.03937007874015748,-0.11023622047244094,0.015748031496062992,127,OK
StrongLocal-RobotSmooth,psi0_minus_025,overall,psi_mae,-0.06203594386386888,-0.07610577367868296,-0.04875254282469526,127,OK
StrongLocal-RobotSmooth,psi0_minus_025,overall,elbow_mean,-0.017211491044006624,-0.02131219772734277,-0.01346743827663399,127,OK
StrongLocal-RobotSmooth,psi0_minus_025,overall,travel,-0.14810295215456995,-0.2520861707644542,-0.0564447656609446,127,OK
StrongLocal-RobotSmooth,psi0_minus_025,overall,rms_velocity,0.000475271500159623,-0.04665135305336801,0.051228168866457306,127,OK
StrongLocal-RobotSmooth,psi0_minus_025,overall,min_margin,0.01905146482837926,0.012385707323634025,0.026470068414496898,127,OK
StrongLocal-RobotSmooth,psi0_minus_025,overall,violations,0.21653543307086615,0.11801181102362206,0.3346456692913386,127,OK
StrongLocal-RobotSmooth,psi0_minus_025,transfer,psi_mae,-0.034752819721200374,-0.04446157308875965,-0.02438392690060542,125,OK
StrongLocal-RobotSmooth,psi0_minus_025,transfer,elbow_mean,-0.008106032051963337,-0.010346217025587481,-0.005729515396136136,125,OK
StrongLocal-RobotSmooth,psi0_minus_025,transfer,travel,-0.09890268939073854,-0.1784381993164077,-0.016577846758124577,127,OK
StrongLocal-RobotSmooth,psi0_minus_025,transfer,rms_velocity,0.04159608453283796,-0.014114190505566046,0.10217224401572358,125,OK
StrongLocal-RobotSmooth,psi0_minus_025,transfer,min_margin,-0.013640090173647526,-0.017577132481269762,-0.01038392833233322,125,OK
StrongLocal-RobotSmooth,psi0_minus_025,transfer,violations,0.10236220472440945,0.03937007874015748,0.1732283464566929,127,OK
StrongLocal-RobotSmooth,psi0_minus_025,withdrawal,psi_mae,-0.09302835179141808,-0.12036415380134423,-0.06820721356302614,122,OK
StrongLocal-RobotSmooth,psi0_minus_025,withdrawal,elbow_mean,-0.027168768275804642,-0.03480323496752481,-0.020130975291519693,122,OK
StrongLocal-RobotSmooth,psi0_minus_025,withdrawal,travel,-0.1973032149184015,-0.36990487708723147,-0.05486855866225781,127,OK
StrongLocal-RobotSmooth,psi0_minus_025,withdrawal,rms_velocity,-0.07329511316526967,-0.12498913245539692,-0.02894308914424302,122,OK
StrongLocal-RobotSmooth,psi0_minus_025,withdrawal,min_margin,0.05215783091036755,0.038812717179339824,0.06547965924182254,122,OK
StrongLocal-RobotSmooth,psi0_minus_025,withdrawal,violations,0.33070866141732286,0.13385826771653545,0.5748031496062992,127,OK
StrongLocal-RobotSmooth,psi0_nominal,overall,psi_mae,-0.0486128761583713,-0.058224175830104995,-0.039822152938497855,127,OK
StrongLocal-RobotSmooth,psi0_nominal,overall,elbow_mean,-0.013180708161324932,-0.015853174401693905,-0.01080682808411213,127,OK
StrongLocal-RobotSmooth,psi0_nominal,overall,travel,0.052413941456696235,-0.0026781641606215554,0.11293648416038118,127,OK
StrongLocal-RobotSmooth,psi0_nominal,overall,rms_velocity,0.06313527578915745,0.02872864306246651,0.10474242967336997,127,OK
StrongLocal-RobotSmooth,psi0_nominal,overall,min_margin,0.016151443556416244,0.008365063061092316,0.02424761759077205,127,OK
StrongLocal-RobotSmooth,psi0_nominal,overall,violations,0.07086614173228346,0.03543307086614173,0.1141732283464567,127,OK
StrongLocal-RobotSmooth,psi0_nominal,transfer,psi_mae,-0.04036577838849004,-0.05077674776736015,-0.02910077585069857,125,OK
StrongLocal-RobotSmooth,psi0_nominal,transfer,elbow_mean,-0.009136336939679471,-0.011534776592041966,-0.0066140452019213675,125,OK
