record_id,parent_bite_id,take,phase,generated_duration_s,gt_duration_s,duration_error_s,absolute_duration_error_s
trial_0015_bite_014_transfer,trial_0015_bite_014,trial_0015,transfer,1.44,1.15,0.29000000000000004,0.29000000000000004
trial_0015_bite_014_withdrawal,trial_0015_bite_014,trial_0015,withdrawal,1.03,1.37,-0.3400000000000001,0.3400000000000001
trial_0015_bite_015_transfer,trial_0015_bite_015,trial_0015,transfer,1.44,1.09,0.34999999999999987,0.34999999999999987
trial_0015_bite_015_withdrawal,trial_0015_bite_015,trial_0015,withdrawal,1.03,1.68,-0.6499999999999999,0.6499999999999999
trial_0015_bite_016_transfer,trial_0015_bite_016,trial_0015,transfer,1.44,1.55,-0.1100000000000001,0.1100000000000001
trial_0015_bite_016_withdrawal,trial_0015_bite_016,trial_0015,withdrawal,1.03,1.55,-0.52,0.52
trial_0015_bite_017_transfer,trial_0015_bite_017,trial_0015,transfer,1.44,1.59,-0.15000000000000013,0.15000000000000013
trial_0015_bite_017_withdrawal,trial_0015_bite_017,trial_0015,withdrawal,1.03,1.77,-0.74,0.74
trial_0015_bite_018_transfer,trial_0015_bite_018,trial_0015,transfer,1.44,1.5,-0.06000000000000005,0.06000000000000005
trial_0015_bite_018_withdrawal,trial_0015_bite_018,trial_0015,withdrawal,1.03,1.77,-0.74,0.74
trial_0015_bite_019_transfer,trial_0015_bite_019,trial_0015,transfer,1.44,1.84,-0.40000000000000013,0.40000000000000013
trial_0015_bite_019_withdrawal,trial_0015_bite_019,trial_0015,withdrawal,1.03,1.48,-0.44999999999999996,0.44999999999999996
trial_0017_bite_001_transfer,trial_0017_bite_001,trial_0017,transfer,1.39,2.18,-0.7900000000000003,0.7900000000000003
trial_0017_bite_001_withdrawal,trial_0017_bite_001,trial_0017,withdrawal,1.07,1.28,-0.20999999999999996,0.20999999999999996
trial_0017_bite_002_transfer,trial_0017_bite_002,trial_0017,transfer,1.39,1.66,-0.27,0.27
trial_0017_bite_002_withdrawal,trial_0017_bite_002,trial_0017,withdrawal,1.07,0.89,0.18000000000000005,0.18000000000000005
trial_0017_bite_003_transfer,trial_0017_bite_003,trial_0017,transfer,1.39,1.82,-0.43000000000000016,0.43000000000000016
trial_0017_bite_003_withdrawal,trial_0017_bite_003,trial_0017,withdrawal,1.07,0.99,0.08000000000000007,0.08000000000000007
trial_0017_bite_004_transfer,trial_0017_bite_004,trial_0017,transfer,1.39,2.15,-0.76,0.76
trial_0017_bite_004_withdrawal,trial_0017_bite_004,trial_0017,withdrawal,1.07,1.02,0.050000000000000044,0.050000000000000044
