record_id,parent_bite_id,take,phase,generator,first_delta_correction_rad,generated_vs_measured_reference_delta_psi_rmse_rad,generated_vs_measured_reference_delta_psi_mae_rad,generated_vs_measured_reference_delta_psi_p95_rad,generated_vs_measured_reference_delta_psi_max_rad,end_to_end_coordination_deviation_rmse_rad,end_to_end_coordination_deviation_mae_rad,coordination_success
trial_0014_bite_002_transfer,trial_0014_bite_002,trial_0014,transfer,retrieval,0.012506901038588987,0.03523741629219307,0.03356958963497823,0.04779638315509122,0.051582442749226035,0.027329538520245288,0.0223843591985588,True
trial_0014_bite_002_transfer,trial_0014_bite_002,trial_0014,transfer,contextual_promp,0.012506901038588987,0.024408974272394985,0.0227611610135322,0.036337555349508784,0.038228871133369424,0.03208206893903536,0.024562607549300317,True
trial_0014_bite_002_withdrawal,trial_0014_bite_002,trial_0014,withdrawal,retrieval,0.03964804413245784,0.06872885621672407,0.05033838582814217,0.1435886505260029,0.15220823543559164,0.12714011662883165,0.09209130146164696,True
trial_0014_bite_002_withdrawal,trial_0014_bite_002,trial_0014,withdrawal,contextual_promp,0.03964804413245784,0.06955698174326232,0.05379630101195252,0.12241825920825002,0.12595522836334677,0.13291727390007604,0.10230536452234537,True
trial_0014_bite_003_transfer,trial_0014_bite_003,trial_0014,transfer,retrieval,0.005768465803150456,0.027741959499553683,0.024193610821555776,0.0489398660754041,0.050345162711711994,0.08737262019103073,0.07247777229555304,True
trial_0014_bite_003_transfer,trial_0014_bite_003,trial_0014,transfer,contextual_promp,0.005768465803150456,0.010933479212353577,0.009075641861801568,0.020342742683062853,0.022247802232490066,0.07191783532402544,0.06063537314159024,True
trial_0014_bite_003_withdrawal,trial_0014_bite_003,trial_0014,withdrawal,retrieval,0.008816484243526677,0.14414610468906427,0.13281346657175683,0.20083884195501436,0.2129708590656001,0.1358150591744744,0.12032383267081176,True
trial_0014_bite_003_withdrawal,trial_0014_bite_003,trial_0014,withdrawal,contextual_promp,0.008816484243526677,0.09252393657963703,0.07229989371816305,0.1545607191087222,0.16160755398583276,0.083044734870329,0.07178939514310173,True
trial_0014_bite_004_transfer,trial_0014_bite_004,trial_0014,transfer,retrieval,0.014410228161587817,0.014852124165311327,0.011557371305382811,0.03159842722609016,0.04027454448454517,0.10995995111473879,0.09775716522635425,True
trial_0014_bite_004_transfer,trial_0014_bite_004,trial_0014,transfer,contextual_promp,0.014410228161587817,0.00874539520296639,0.0063574896854394596,0.016749425237892634,0.01778139551227076,0.11082584247510355,0.09562891047442867,True
trial_0014_bite_004_withdrawal,trial_0014_bite_004,trial_0014,withdrawal,retrieval,0.031147959882453106,0.03180292612173383,0.026926881604743422,0.05506628654566934,0.06526613937060892,0.07718162997469678,0.05527211360433477,True
trial_0014_bite_004_withdrawal,trial_0014_bite_004,trial_0014,withdrawal,contextual_promp,0.031147959882453106,0.05068774229448921,0.03889395907400739,0.10238941073454422,0.10620809946909288,0.04654254897942949,0.039017660081584866,True
trial_0014_bite_005_transfer,trial_0014_bite_005,trial_0014,transfer,retrieval,-0.0031258860822755904,0.00794470248578547,0.007102431480806321,0.01421789464049017,0.0160530322583875,0.14851410639905122,0.1257446382220777,True
