record_id,parent_bite_id,take,phase,generator,tool_rms_position_error_m,tool_rms_orientation_error_rad,tool_final_position_error_m,tool_path_length_absolute_error_m,first_delta_correction_rad,generated_vs_measured_reference_delta_psi_rmse_rad,generated_vs_measured_reference_delta_psi_mae_rad,generated_vs_measured_reference_delta_psi_p95_rad,generated_vs_measured_reference_delta_psi_max_rad,end_to_end_coordination_deviation_rmse_rad,end_to_end_coordination_deviation_mae_rad,coordination_success,common_success_frames,end_to_end_q_rms_deviation_rad,end_to_end_elbow_mean_deviation_m,end_to_end_elbow_rms_deviation_m,end_to_end_arm_plane_mean_deviation_rad,generated_joint_travel_common_support_rad,measured_reference_joint_travel_common_support_rad,joint_travel_difference_rad,stronglocal_frame_success_rate,stronglocal_complete_trajectory_success,stronglocal_continuity_violations,stronglocal_complete_pipeline_success
trial_0012_bite_011_transfer,trial_0012_bite_011,trial_0012,transfer,contextual_promp,0.0747784329573442,0.1428838005737292,0.0387800190683663,0.0301103442922815,0.017003873035442707,0.022638068579481696,0.020442225541015813,0.03536381038477936,0.045834383799528915,0.0539153873306964,0.05040433617478987,True,64,0.22974236615955806,0.10321871707357491,0.1191461835812222,0.05717212874388811,3.245303846660737,6.16533484597465,-2.920030999313913,1.0,True,0,True
trial_0012_bite_011_withdrawal,trial_0012_bite_011,trial_0012,withdrawal,retrieval,0.2211038810750677,0.9597750740624128,0.2538096938738802,0.1770057239104933,0.17888795781661498,0.20198288617540222,0.18469176116043012,0.26184897664339735,0.2665850782053413,0.21888332557464513,0.17278002339705756,True,101,0.6601891233553294,0.23434722273185232,0.2645129662835649,0.4125994789420733,7.795024890435402,8.504847125383513,-0.7098222349481116,1.0,True,0,True
trial_0012_bite_011_withdrawal,trial_0012_bite_011,trial_0012,withdrawal,contextual_promp,0.1912656254113929,0.6096621670562195,0.1851611972331669,0.1421045321400151,0.17888795781661498,0.11502336516113107,0.08896945143183559,0.2332468097851936,0.24575747288388738,0.09080073875483118,0.07447826330341133,True,101,0.550783007698784,0.15703644314803666,0.17529632571507275,0.2672922402238449,6.476700314517572,8.504847125383513,-2.028146810865941,1.0,True,0,True
trial_0012_bite_012_transfer,trial_0012_bite_012,trial_0012,transfer,retrieval,0.0355203148545053,0.1571651154479877,0.0270183955041672,0.0110714516374293,0.008102657087274074,0.0363725169393646,0.030812019659423776,0.05794848530343455,0.06168277314863663,0.09901386716374726,0.08879547334488401,True,81,0.15459375630990754,0.02537932746607688,0.02975275627462331,0.017902951573970174,5.143087602420415,5.850620355045613,-0.7075327526251973,1.0,True,0,True
trial_0012_bite_012_transfer,trial_0012_bite_012,trial_0012,transfer,contextual_promp,0.0435073318264125,0.1181126323340669,0.0544587099097167,0.0263099938596583,0.008102657087274074,0.02336863010243481,0.01847957732529189,0.04653497423035744,0.04953926592531034,0.08403857107254582,0.07651327802988223,True,81,0.18157609716900838,0.056406211343515374,0.06495349527333603,0.034119264919296906,4.360525265263944,5.850620355045613,-1.4900950897816685,1.0,True,0,True
trial_0012_bite_012_withdrawal,trial_0012_bite_012,trial_0012,withdrawal,retrieval,0.1184128194943982,0.356325706775795,0.1563854046528885,0.0283593490321465,0.2098836990812283,0.16200273858201333,0.14097345200775455,0.22388984612131263,0.23903446357655878,0.4214275780710975,0.3463934097075883,True,101,0.2536388730861823,0.12738984115020266,0.14253116376103614,0.14546515597719462,9.592424745072847,9.86868744679845,-0.27626270172560297,1.0,True,0,True
trial_0012_bite_012_withdrawal,trial_0012_bite_012,trial_0012,withdrawal,contextual_promp,0.0913657326162943,0.2793579969153031,0.1619534709116824,0.015584629978717,0.2098836990812283,0.016892441635372766,0.01392240550683277,0.03278633550044008,0.04002849174437095,0.28713493424337916,0.2148394500861507,True,101,0.19366740193606435,0.06669992394651193,0.07353735148262716,0.05679014190292046,7.886393202355277,9.86868744679845,-1.9822942444431728,1.0,True,0,True
trial_0012_bite_013_transfer,trial_0012_bite_013,trial_0012,transfer,retrieval,0.0272762612554799,0.2017942741564368,0.0304265821891594,0.0224406250278471,-0.0003565475811862801,0.02624283023700902,0.01929992252296096,0.06089055962122145,0.06415428865079915,0.08543734996281596,0.07445190931614173,True,75,0.1388332449346413,0.02836549779872231,0.031018462820479323,0.06086086314095921,5.571418265724234,5.303296849993055,0.2681214157311791,0.7920792079207921,False,0,False
trial_0012_bite_013_transfer,trial_0012_bite_013,trial_0012,transfer,contextual_promp,0.0526031166775854,0.2335885484035701,0.0649829258778588,0.0084878978642322,-0.0003565475811862801,0.020903245268322036,0.015281108662815766,0.042453630018631144,0.04768622680411477,0.10477090437476955,0.0960755065752738,True,75,0.21666356278016669,0.055400435386879346,0.06658139513996558,0.0951800160095142,4.016544081544232,5.303296849993055,-1.2867527684488227,1.0,True,0,True
trial_0012_bite_013_withdrawal,trial_0012_bite_013,trial_0012,withdrawal,retrieval,0.0917642473248203,0.3000619089572889,0.0356136561770388,0.0667552804536271,0.1923640883693361,0.13438376968861435,0.10603269465714357,0.24869664129699853,0.27529537403028315,0.2716193766093481,0.2251661494199201,True,101,0.2287382091060731,0.08712091455978309,0.09810178651061781,0.141207241903296,7.4900327607453585,7.62492216186517,-0.1348894011198114,1.0,True,0,True
trial_0012_bite_013_withdrawal,trial_0012_bite_013,trial_0012,withdrawal,contextual_promp,0.0485349144397229,0.3212036982233113,0.0774146336609692,0.0381193607851859,0.1923640883693361,0.05675220876262855,0.045278015095823666,0.09858748393981548,0.1065836294752125,0.11660595820144688,0.09441531474905747,True,101,0.16517193274721859,0.07712288898542673,0.08576429679110743,0.1134340919711352,6.061828702402256,7.62492216186517,-1.5630934594629142,1.0,True,0,True
trial_0012_bite_014_transfer,trial_0012_bite_014,trial_0012,transfer,retrieval,0.0855648498860921,0.268577409626536,0.0317564976924918,0.0251347037311091,0.05351146442941547,0.031086349418917487,0.027390204566675496,0.05030095678390138,0.05838330943472865,0.12493784472510029,0.11336882914260359,True,48,0.15482202801464712,0.08377144694428429,0.10012664822736222,0.08823847244621452,1.9069427225855988,3.605157314463062,-1.6982145918774632,0.7623762376237624,False,0,False
trial_0012_bite_014_transfer,trial_0012_bite_014,trial_0012,transfer,contextual_promp,0.0607953261267794,0.1794451073145046,0.0471491198240481,0.0098061680679916,0.05351146442941547,0.05517557010562744,0.05124584844666552,0.08555602614447551,0.10202877768718797,0.17043612914022774,0.1530710071341823,True,48,0.12591839153859236,0.04632359111871117,0.0578050610471131,0.05687239225683138,2.234791207426799,3.605157314463062,-1.3703661070362632,0.6336633663366337,False,1,False
