comparison,phase,metric,difference_a_minus_b,ci_low,ci_high,support_bites,status
StrongLocal-HumanGT,transfer,difference_rms_velocity_a_minus_b,0.01052521212455597,-0.03251528150633536,0.05088273446382312,125,OK
StrongLocal-HumanGT,transfer,difference_rms_acceleration_a_minus_b,5.328357711208387,1.9065254282286097,8.716865521537807,125,OK
StrongLocal-HumanGT,transfer,difference_rms_jerk_a_minus_b,1211.47999441641,771.3474838436517,1678.5578808385017,125,OK
StrongLocal-HumanGT,transfer,difference_min_margin_a_minus_b,0.001686439401451638,-0.0033078763069978355,0.006889383036993311,125,OK
StrongLocal-HumanGT,transfer,difference_min_jp_sigma_a_minus_b,0.0002154120318410053,-0.0006349291464463567,0.0010608651390417447,125,OK
StrongLocal-HumanGT,transfer,difference_min_jr_sigma_a_minus_b,-0.00207150983921786,-0.006571350795654809,0.002393667778732468,125,OK
StrongLocal-HumanGT,transfer,difference_violations_a_minus_b,0.03937007874015748,-0.007874015748031496,0.08661417322834646,127,OK
StrongLocal-HumanGT,transfer,difference_psi_mae_a_minus_b,0.06315619425136172,0.05619343564887717,0.07080410054680296,125,OK
StrongLocal-HumanGT,transfer,difference_elbow_mean_a_minus_b,0.013671980364988318,0.012209505868987652,0.015237405151666154,125,OK
StrongLocal-HumanGT,withdrawal,difference_travel_a_minus_b,0.16355403381685013,0.10843488782820299,0.21993355037591925,127,OK
StrongLocal-HumanGT,withdrawal,difference_rms_velocity_a_minus_b,0.03227352394624679,0.014437993462841194,0.050361983462822855,127,OK
StrongLocal-HumanGT,withdrawal,difference_rms_acceleration_a_minus_b,7.935252603252961,5.7384493193515205,10.218794268205993,127,OK
StrongLocal-HumanGT,withdrawal,difference_rms_jerk_a_minus_b,1625.0822896927016,1235.7852873504355,2023.1951009337663,127,OK
StrongLocal-HumanGT,withdrawal,difference_min_margin_a_minus_b,-0.0220412219927004,-0.03605616966031539,-0.007933849124583135,127,OK
StrongLocal-HumanGT,withdrawal,difference_min_jp_sigma_a_minus_b,-0.0004689110161899959,-0.0011112248899413778,0.0001222088173772558,127,OK
StrongLocal-HumanGT,withdrawal,difference_min_jr_sigma_a_minus_b,-0.0002293545785675343,-0.002874714804244103,0.002210311514596809,127,OK
StrongLocal-HumanGT,withdrawal,difference_violations_a_minus_b,0.03937007874015748,-0.023622047244094488,0.12598425196850394,127,OK
StrongLocal-HumanGT,withdrawal,difference_psi_mae_a_minus_b,0.09329264370330707,0.08259554663188579,0.10435120986183696,127,OK
StrongLocal-HumanGT,withdrawal,difference_elbow_mean_a_minus_b,0.027601738417279757,0.0244199981069312,0.030891220232671556,127,OK
StrongLocal-RobotSmooth,overall,difference_travel_a_minus_b,0.05241394145669621,-0.0026781641606216378,0.11293648416038114,127,OK
StrongLocal-RobotSmooth,overall,difference_rms_velocity_a_minus_b,0.06313527578915745,0.02872864306246651,0.10474242967336997,127,OK
StrongLocal-RobotSmooth,overall,difference_rms_acceleration_a_minus_b,7.12223129814262,4.10969091008503,10.253981278116429,127,OK
StrongLocal-RobotSmooth,overall,difference_rms_jerk_a_minus_b,1033.0720518466394,557.7572785741094,1514.8281940778606,127,OK
StrongLocal-RobotSmooth,overall,difference_min_margin_a_minus_b,0.016151443556416244,0.008365063061092316,0.02424761759077205,127,OK
StrongLocal-RobotSmooth,overall,difference_min_jp_sigma_a_minus_b,-0.00153280712626742,-0.0023613649296575015,-0.0007470187823003924,127,OK
StrongLocal-RobotSmooth,overall,difference_min_jr_sigma_a_minus_b,0.010802716584882022,0.008561696086503088,0.013061682971706961,127,OK
StrongLocal-RobotSmooth,overall,difference_violations_a_minus_b,0.1062992125984252,0.051181102362204724,0.1732283464566929,127,OK
StrongLocal-RobotSmooth,overall,difference_psi_mae_a_minus_b,-0.0486128761583713,-0.058224175830104995,-0.039822152938497855,127,OK
StrongLocal-RobotSmooth,overall,difference_elbow_mean_a_minus_b,-0.013180708161324932,-0.0158531744016939,-0.01080682808411213,127,OK
StrongLocal-RobotSmooth,transfer,difference_travel_a_minus_b,0.07056809916268902,-0.008978733737351486,0.16217131921570777,127,OK
StrongLocal-RobotSmooth,transfer,difference_rms_velocity_a_minus_b,0.1087615993994826,0.05063228454081442,0.17011004219264164,125,OK
StrongLocal-RobotSmooth,transfer,difference_rms_acceleration_a_minus_b,12.259933681242998,8.48225929967404,16.53495313183207,125,OK
StrongLocal-RobotSmooth,transfer,difference_rms_jerk_a_minus_b,1666.2635493209063,1102.772260783397,2289.672845150383,125,OK
StrongLocal-RobotSmooth,transfer,difference_min_margin_a_minus_b,-0.023607119474310864,-0.027807324287591858,-0.019442576924497725,125,OK
StrongLocal-RobotSmooth,transfer,difference_min_jp_sigma_a_minus_b,-0.004829929890635021,-0.0058500948792871744,-0.003874360221043951,125,OK
StrongLocal-RobotSmooth,transfer,difference_min_jr_sigma_a_minus_b,0.02291290143985509,0.018819615306689554,0.0268963676636968,125,OK
StrongLocal-RobotSmooth,transfer,difference_violations_a_minus_b,0.11811023622047244,0.05511811023622047,0.1968503937007874,127,OK
StrongLocal-RobotSmooth,transfer,difference_psi_mae_a_minus_b,-0.04036577838849004,-0.05077674776736015,-0.02910077585069857,125,OK
StrongLocal-RobotSmooth,transfer,difference_elbow_mean_a_minus_b,-0.009136336939679471,-0.011534776592041966,-0.0066140452019213675,125,OK
StrongLocal-RobotSmooth,withdrawal,difference_travel_a_minus_b,0.034259783750703356,-0.02256983824324327,0.0958868690192691,127,OK
StrongLocal-RobotSmooth,withdrawal,difference_rms_velocity_a_minus_b,-0.0033434926534001088,-0.01505617516735178,0.009152186872304319,122,OK
StrongLocal-RobotSmooth,withdrawal,difference_rms_acceleration_a_minus_b,0.5964405495397778,-2.696789687434255,3.823042848573087,122,OK
StrongLocal-RobotSmooth,withdrawal,difference_rms_jerk_a_minus_b,258.28396209744204,-357.7200241121297,854.1091345070141,122,OK
StrongLocal-RobotSmooth,withdrawal,difference_min_margin_a_minus_b,0.058089604836818035,0.04217014257000684,0.0740599282314832,122,OK
StrongLocal-RobotSmooth,withdrawal,difference_min_jp_sigma_a_minus_b,0.0022892750672783265,0.0014007006978238189,0.0032053700069852578,122,OK
StrongLocal-RobotSmooth,withdrawal,difference_min_jr_sigma_a_minus_b,-0.002137982306739601,-0.0038180794018277194,-0.0005235629163729047,122,OK
StrongLocal-RobotSmooth,withdrawal,difference_violations_a_minus_b,0.09448818897637795,0.023622047244094488,0.1889763779527559,127,OK
StrongLocal-RobotSmooth,withdrawal,difference_psi_mae_a_minus_b,-0.059326502337688165,-0.07263032780002636,-0.04550329629239414,122,OK
