strategy,jp_sigma_min,jp_sigma_p05,jp_sigma_median,jp_sigma_p95,jp_cond_min,jp_cond_p05,jp_cond_median,jp_cond_p95,jr_sigma_min,jr_sigma_p05,jr_sigma_median,jr_sigma_p95,jr_cond_min,jr_cond_p05,jr_cond_median,jr_cond_p95,scope,support_bites,support_success_frames,row_scope,comparison,strategy_a,strategy_b,pair_common_success_frames,pair_clean_frames,pair_clean_intervals,a_min_jp_sigma,b_min_jp_sigma,a_min_jr_sigma,b_min_jr_sigma
,,,,,,,,,,,,,,,,,overall,127,,pairwise_support_c,StrongLocal-B2,StrongLocal,B2,31169.0,31134.0,30842.0,0.22616051068076928,0.22586055986787357,1.3106217552668655,1.3128367541743762
,,,,,,,,,,,,,,,,,transfer,127,,pairwise_support_c,StrongLocal-B2,StrongLocal,B2,17180.0,17162.0,17023.0,0.2257796357875416,0.22516473775855927,1.3281388850462477,1.3317335435968476
,,,,,,,,,,,,,,,,,withdrawal,127,,pairwise_support_c,StrongLocal-B2,StrongLocal,B2,13989.0,13972.0,13819.0,0.22653538754418243,0.22654542414869477,1.2933804857989701,1.2942375519869045
,,,,,,,,,,,,,,,,,overall,127,,pairwise_support_c,StrongLocal-B3,StrongLocal,B3,31171.0,31131.0,30839.0,0.22614328603224637,0.22576547791962046,1.3106113857231554,1.3118946968875314
,,,,,,,,,,,,,,,,,transfer,127,,pairwise_support_c,StrongLocal-B3,StrongLocal,B3,17181.0,17162.0,17023.0,0.22575050748937206,0.22534552178204884,1.3281388850462477,1.3307945784989077
,,,,,,,,,,,,,,,,,withdrawal,127,,pairwise_support_c,StrongLocal-B3,StrongLocal,B3,13990.0,13969.0,13816.0,0.2265298790862565,0.22617882057471056,1.2933599100114508,1.2932924512070427
,,,,,,,,,,,,,,,,,overall,127,,pairwise_support_c,StrongLocal-H_star,StrongLocal,H_star,31172.0,31135.0,30843.0,0.2261475062243091,0.2261431237849376,1.3106113857231554,1.310566853701984
,,,,,,,,,,,,,,,,,transfer,127,,pairwise_support_c,StrongLocal-H_star,StrongLocal,H_star,17183.0,17165.0,17026.0,0.22575050748937206,0.22575468410597935,1.3281388850462477,1.3273836301935893
,,,,,,,,,,,,,,,,,withdrawal,127,,pairwise_support_c,StrongLocal-H_star,StrongLocal,H_star,13989.0,13970.0,13817.0,0.2265382530106644,0.22652544630359717,1.2933599100114508,1.2940149083362307
,,,,,,,,,,,,,,,,,overall,127,,pairwise_support_c,StrongLocal-HumanGT,StrongLocal,HumanGT,31050.0,31014.0,30720.0,0.22628897088299557,0.226418435942821,1.3106843836544844,1.311827505723454
,,,,,,,,,,,,,,,,,transfer,127,,pairwise_support_c,StrongLocal-HumanGT,StrongLocal,HumanGT,17172.0,17152.0,17013.0,0.2259912234300102,0.22577581139816916,1.3282257743078127,1.3302972841470304
,,,,,,,,,,,,,,,,,withdrawal,127,,pairwise_support_c,StrongLocal-HumanGT,StrongLocal,HumanGT,13878.0,13862.0,13707.0,0.22658202939971353,0.2270509404159035,1.2934192353736496,1.2936485899522168
,,,,,,,,,,,,,,,,,overall,127,,pairwise_support_c,StrongLocal-RobotSmooth,StrongLocal,RobotSmooth,30575.0,30556.0,30271.0,0.2275691916248749,0.22888275307475922,1.312507165728333,1.30196757528882
,,,,,,,,,,,,,,,,,transfer,127,,pairwise_support_c,StrongLocal-RobotSmooth,StrongLocal,RobotSmooth,17161.0,17145.0,17008.0,0.2257801885697645,0.23061011846039947,1.3289232218319234,1.3060103203920683
,,,,,,,,,,,,,,,,,withdrawal,127,,pairwise_support_c,StrongLocal-RobotSmooth,StrongLocal,RobotSmooth,13414.0,13411.0,13263.0,0.22940218655838976,0.22711291149111143,1.2956874361139987,1.2978254184207383
